site_unique,site_location_name,established_date,bioregion_name,landform_pattern,landform_element,site_slope,site_aspect,outcrop_lithology,other_outcrop_lithology,site_location_visit_id,visit_start_date,visit_end_date,erosion_type,erosion_abundance,erosion_state,microrelief,drainage_type,disturbance,climatic_condition,vegetation_condition,observer_veg,observer_soil,described_by,pit_marker_easting,pit_marker_northing,pit_marker_mga_zones,pit_marker_datum,pit_marker_location_method,soil_observation_type,a_s_c,plot_is_100m_by_100m,plot_is_aligned_to_grid,plot_is_permanently_marked,latitude,longitude,point,state,visit_date,visit_number,x,y
SAAFLB0005-58618,SAAFLB0005,2018-09-12T12:00:00Z,FLB,RIS,RES,17,"",SA,NC,58618,2018-09-12T16:15:59Z,2018-09-12T16:15:59Z,n/a,X,n/a,Z,3,0,WET,FFR,1,31,1,229427.047,6342110.114,54,WGS84,TABLET,P,"",TRUE,TRUE,FALSE,-33.0267694444444,138.103255555556,SW,SA,2018-09-12,1,138.103255555556,-33.0267694444444
SAAFLB0006-58619,SAAFLB0006,2018-09-13T09:36:00Z,FLB,HIL,HSL,13,Northern,QZ,,58619,2018-09-13T13:57:15Z,2018-09-13T13:57:15Z,n/a,X,n/a,Z,5,0,DRY,FFR,30,31,30,235167.325,6335621.654,,"",TABLET,P,"",TRUE,TRUE,TRUE,-33.0857361111111,138.162691666667,SW,SA,2018-09-13,1,138.162691666667,-33.0857361111111
SAAFLB0007-58620,SAAFLB0007,2018-10-10T09:48:00Z,FLB,PLA,PLA,0,"",,,58620,2018-10-10T14:24:46Z,2018-10-10T14:24:46Z,W,2,P,N,3,1M,DRY,DRY,30,31,30,244506.9,6476042.2,54,WGS84,TABLET,PA,"",TRUE,TRUE,FALSE,-31.8236888888889,138.299702777778,SW,SA,2018-10-10,1,138.299702777778,-31.8236888888889
SAAFLB0008-58621,SAAFLB0008,2018-10-10T09:51:00Z,FLB,HIL,HSL,5,360,ME,,58621,2018-10-10T16:59:06Z,2018-10-10T16:59:06Z,W,1,P,Z,3,1M,DRY,DRY,1,31,1,249348.698,6474564.298,54,WGS84,TABLET,PA,"",TRUE,TRUE,TRUE,-31.8377861111111,138.351191666667,SW,SA,2018-10-10,1,138.351191666667,-31.8377861111111
SAAFLB0030-53506,SAAFLB0030,2013-08-13T00:00:00Z,FLB,LOW,HSL,1,90,ME,ME,53506,2013-08-13T00:00:00Z,2013-08-13T00:00:00Z,E,X,P,Z,4,0,WET,AVG,3,2,3,212089,6679848,54,WGS84,GPS,PA,3TEIOAOARBHKK-,TRUE,TRUE,TRUE,-29.9784833333333,138.015119444444,SW,SA,2013-08-13,2,138.015119444444,-29.9784833333333
SAAFLB0030-57075,SAAFLB0030,2013-08-13T00:00:00Z,FLB,LOW,HSL,1,90,ME,ME,57075,2010-10-30T12:00:00Z,2010-10-30T12:00:00Z,NC,NC,NC,NC,7,NC,WET,AVG,28,29,28,,,,"","",P,NC,TRUE,TRUE,TRUE,-29.9784833333333,138.015119444444,SW,SA,2010-10-30,1,138.015119444444,-29.9784833333333
SAAFLB0030-58617,SAAFLB0030,2013-08-13T00:00:00Z,FLB,LOW,HSL,1,90,ME,ME,58617,2018-08-02T12:33:15Z,2018-08-02T12:33:15Z,n/a,X,n/a,Z,4,0,DRY,DRY,30,32,30,,,,"","",NC,"",TRUE,TRUE,TRUE,-29.9784833333333,138.015119444444,SW,SA,2018-08-02,3,138.015119444444,-29.9784833333333
SAAFLB0031-53507,SAAFLB0031,2013-08-13T00:00:00Z,FLB,LOW,HSL,1,225,,,53507,2013-08-13T00:00:00Z,2013-08-13T00:00:00Z,NC,X,P,Z,4,0,DRY,FFR,3,2,3,785099,6680697,53,WGS84,GPS,P,3TEIOAOARBHKL-,TRUE,TRUE,TRUE,-29.971575,137.954566666667,SW,SA,2013-08-13,2,137.954566666667,-29.971575
SAAFLB0031-57076,SAAFLB0031,2013-08-13T00:00:00Z,FLB,LOW,HSL,1,225,,,57076,2010-10-31T12:00:00Z,2010-10-31T12:00:00Z,NC,NC,NC,NC,7,NC,WET,AVG,28,29,28,,,,"","",P,NC,TRUE,TRUE,TRUE,-29.971575,137.954566666667,SW,SA,2010-10-31,1,137.954566666667,-29.971575
SAAFLB0031-58616,SAAFLB0031,2013-08-13T00:00:00Z,FLB,LOW,HSL,1,225,,,58616,2018-08-02T09:38:54Z,2018-08-02T09:38:54Z,n/a,X,n/a,Z,5,0,DRY,DRY,1,31,1,,,,"","",NC,"",TRUE,TRUE,TRUE,-29.971575,137.954566666667,SW,SA,2018-08-02,3,137.954566666667,-29.971575
